group,entity,sentence,span1L,span1R
literal,Bosia-Hercegovina,""" results of the registration for september elections herald a dismal future for multi-ethnicity in bosia-hercegovina , "" warned soren jessen-petersen , special envoy for the u .n . high commissioner for refugees in former yugoslavia .",15.0,16.0
literal,Massachusetts,"the republican party , whose platform calls for making all abortions illegal , faced a similar dilemma this year when massachusetts gov .",20.0,21.0
literal,North Yemen,"s-1 in the former south yemen , which united with north yemen in 1990 .",10.0,12.0
literal,Greece,"olympiakos of greece beat russia's dinamo 69-60 (halftime 35-23) in the third match of an international basketball tournament on thursday , qualifying for the finals .",2.0,3.0
literal,Britain,"seven iraqis who seized a sudanese airliner with 199 people aboard and forced it to fly to london were on friday charged with hijack , ending speculation that they might be offered immediate asylum in britain .",35.0,36.0
metonymic,Iran,"iran has , after all , infringed british sovereignty by forcing it into massive protection for one of its own citizens .",0.0,1.0
metonymic,Tirana,"athens and tirana signed an accord in may to legalise the status of albanian immigrant workers , estimated at 350 ,000 , and remove a long-standing stumbling block in relations between the two balkan neighbours .",2.0,3.0
literal,Doboj,"to loud applause , he added : "" we will enter doboj , untie the doboj knot and ensure free movement for all .",11.0,12.0
metonymic,Corsica,"corsica has been racked by low-level separatist-inspired violence , principally directed against government targets , for two decades .",0.0,1.0
literal,Asmara,"the exiled national democratic alliance , a sudanese umbrella opposition group , has its headquarters in the eritrean capital asmara .",19.0,20.0
metonymic,Shimpei Nukaya,"japan's economic planning agency has not changed its view that the economy is gradually recovering , despite relatively weak gross domestic product figures released on tuesday , epa vice minister shimpei nukaya told reporters on friday .",30.0,32.0
metonymic,Lithuania,romania beat lithuania 2-1 ( halftime 1-1 ) in their european under-21 soccer match on friday .,2.0,3.0
metonymic,Britain,and the following day britain lost its battle to impose the burden of scientific proof on those who oppose radioactive dumping .,4.0,5.0
literal,Atlantic Ocean,"the twa jet exploded in a deadly fireball last month , killing 230 people , crashing in the atlantic ocean at least 80 miles from where the debris was found wednesday .",18.0,20.0
metonymic,Kuwait,"to reinforce this confidence , they had participated in gcc defence consultations a week or so before and joint manoeuvres with kuwait the previous winter .",21.0,22.0
literal,Tripoli,"up to today , we have no knowledge of any nurse stranded or kept in libya without her will , and we have not received any complaint , "" the polish embassy's charge d'affaires in tripoli , tadeusz awdankiewicz , told reuters by telephone .",35.0,36.0
metonymic,Ireland,"he guided ireland to two successive world cup finals tournaments and to the 1988 european championship finals in germany , after the irish beat a well-fancied england team 1-0 in their group qualifier .",2.0,3.0
literal,Berlin,"berlin , brussels and zurich all belong to the most lucrative series in the sport , the golden four .",0.0,1.0
literal,Thailand,"bill , 76 , asked street chiefs to investigate and they discovered that episodes of the popular show screened in britain five years ago are now topping the ratings in thailand and they have made percy a national hero .",30.0,31.0
literal,North West,"five people were killed when a crop-spraying plane preparing for takeoff crashed into a light delivery vehicle in south africa's north west region , state radio reported on friday .",20.0,22.0
literal,Kashmir,"prime minister h .d . deve gowda's centre-left government hopes the elections will help restore normality and democratic rule in jammu and kashmir , where more than 20 ,000 people have died in insurgency-related violence since 1990 .",22.0,23.0
metonymic,Cameroon,"they now play in group five with cameroon , gabon and kenya .",7.0,8.0
literal,Houston,"in houston , jeff bagwell homered and donne wall allowed one run over seven innings as the houston astros defeated the st . louis cardinals 4-1 .",1.0,2.0
literal,U.S.,"u .s . embassy in athens closed on labour day , sep 2 .",0.0,2.0
literal,Philadelphia,"during his 11 years in philadelphia , randall was the cornerstone of the eagles' franchise and brought many great moments to fans in philadelphia as well as across the nfl . """,5.0,6.0
literal,United States,former world champion lance armstrong of the united states was in front as the leading pack of seven riders turned into the oerlikon velodrome for the final one lap sprint but quickly faded and settled for fourth .,7.0,9.0
metonymic,BOJ,senior boj officials have separately said financial markets' views on the economy have been too negative .,1.0,2.0
literal,Manhattan Beach,"huber , who reached the final a week ago at manhattan beach , could only mourn her luck of the draw .",10.0,12.0
metonymic,England,"former england midfielder alan ball resigned as manager of first division side manchester city on monday night , the club said .",1.0,2.0
literal,Itami,note - airport facilities co ltd manages and rents facilities at haneda (tokyo) and itami (osaka) airports .,14.0,15.0
literal,Belarus,"while only a stunning upset will keep graf from sailing through to a predictable semifinal showdown with third seed arantxa sanchez vicario , the german star could also be tested in the third round where she will probably face 28th-ranked veteran natasha zvereva of belarus .",44.0,45.0
literal,U.S.,"the 285 ,000 bpd src refinery is co-owned by the singapore petroleum company , british petrolem and caltex , the joint-venture of u .s . majors chevron corp and texaco inc .",22.0,24.0
literal,London,"the islamist conference , due to be held in london on september 8 , has caused concern in countries such as algeria and egypt , which are fighting armed islamic militants .",9.0,10.0
literal,Longyear,"longyear is a norwegian settlement of just over 1 ,000 people , but it also feels the loss keenly .",0.0,1.0
metonymic,Scotland,"on tour , australia have won all four tests against italy , scotland , ireland and wales , and scored 414 points at an average of almost 35 points a game .",12.0,13.0
literal,Tunisia,"leaders of algeria , tunisia , morocco , libya and mauritania , the member countries of the arab maghreb union (amu) formed in february 1989 [ see p . 36474 ] , met in the algerian capital , algiers , on july 22-23 .",4.0,5.0
literal,Zadar,"hina said the church in the small village of karin gornji , 30 km (19 miles) north of zadar , was destroyed by the morning attack .",18.0,19.0
literal,Iraq,"information minister marwan muasher says there is evidence that "" some official parties in iraq "" were behind the disturbances in the south .",14.0,15.0
literal,Colombo,the australians are making their first visit to the indian ocean island since boycotting a world cup fixture in february after a terrorist bomb in colombo .,25.0,26.0
literal,Guinea,"a government statement , broadcast repeatedly by state radio , said the two days of prayer were "" for the dead , for peace and prosperity in guinea , the victory of the new government and the health of the head of state "" .",27.0,28.0
literal,Bosnia,but he said the united states still believed it was important to go ahead with national elections in bosnia as scheduled on september 14 to bolster the peace process .,18.0,19.0
literal,Georgia,the supreme soviet in the abkhaz assr voted on aug . 25 (with barely half of its 140 deputies in attendance) to declare independence from georgia and restoration of the full republican status abkhazia had enjoyed between 1921 and 1930 .,25.0,26.0
